PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
Nellcote LLC,Christopher Allan Freeman,833,,W,Randolph,St,27,Near West Side,Near West,03/22/2012,08/15/2012,Commercial,,150000,1422390,135,,POINT (-87.648874022 41.883970016)
Marv-o-lus Mfg Co,Michael Glassenberg,220,,N,Washtenaw,Ave,27,East Garfield Park,Kinzie Industrial Corridor,,12/01/2005,Industrial,"Roof, Masonry repairs, structural repair",50000,122000,,,POINT (-87.694288011 41.885107021)
Deseo Mexican Cantina,Antonia Barbanente,6336,,N,Clark,St,40,Edgewater,Clark/Ridge,08/04/2009,09/30/2010,Commercial,"Tuckpointing, façade, windows, doors, storefront, floor, fnece, HVAC, porch, electrical, plumbing, Tuckpointing, façade, windows, doors, storefront, floor, fnece, HVAC, porch, electrical, plumbing",150000,466733,,,POINT (-87.670917002 41.997495015)
Anastasios Andritsakis,Anastasios Andritsakis,5433,5435,W,Diversey,Ave,30,Belmont Cragin,Belmont/Central,06/18/2018,03/29/2019,Commercial,"façade repairs including masonry work (tuck-pointing and cleaning of stone wall facade) and removal and replacement of existing siding with fiber cement siding and metal capping at roof line; masonry repairs including concrete work to remove and replace front entry apron and parapet wall repairs as needed;  carpentry work (metal stud framing on facade); electrical work (install cable from panel to front to feed two exterior signs); and roofing (remove and replace down to the roof deck, remove and replace gutter, tuck-point where needed, replace clay tiles as needed).  Address range is 5433-35 W. Diversey Ave.",56182.5,77365.66,2,12,POINT (-87.762692975 41.931150994)
"Essential Elements - Chicago, LTD.",Melanie Whaley,1640,,E,87th,St,8,Avalon Park,Stony Island/Burnside,05/22/2014,03/30/2015,Commercial,"installation of a new recessed storefront system including window display cases, new entry doors, carpeting in recessed area, exterior lighting, and a new masonry knee wall below windows; HVAC improvements including replacement of old furnace with new high efficiency furnace, new HVAC supply lines, new dehumidifier and associated electrical work; weatherization of rear entry door; new carpeting throughout the store, painting and finishing work, installation of a new LED back-lit channel letter sign including electrical supply for sign, and installation of a new awning; additional expenses included installation of an electrical rolling shutter security system on storefront (ineligible for SBIF funds).",46995.75,67689.75,1,5,POINT (-87.583586959 41.737203981)
Chesterfield Tom Thumb Daycare,Britt Savage,9214,,S,Cottage Grove,Ave,9,Chatham,87th/Cottage Grove,,07/16/2009,Commercial,"awning with signage, sewer repair, steam boiler, boiler",5539.5,11079,,,POINT (-87.604912029 41.727071014)
Thrifter's Delight LLC,Zaida Chaidez,4112,,W,Armitage,Ave,35,Hermosa,Armitage/Pulaski,03/21/2015,05/26/2016,Commercial,"plumbing work to relocate existing water supply for toilet and shower drain; demolish existing shower and flooring; install cement board flooring underlayment; install new ceramic floor tiles; drywall patching and installation of new drywall; install new baseboards and mouldings; painting; replace front window; furnish and install track lighting kits, flourescent lights, and two (2) exit signs; install emergency lights and three (3) wall outlets; install wood flooring; selective demolition on rear area of store (demolition of cabinets, counters, walls, ceiling, and flooring); level ground and install new concrete slab and steps in rear area of store; install tile flooring over concrete; install new drywall for ceiling in rear area; new baseboards and mouldings in rear area; painting; selective demolition in basement, install 4"" rigid PVC perforated drain tile, cleanout port, drainage flange, and repour concrete; install sump pump and associated electrical; connect to existing clay basin; permits, structural frame for new awning (business-specific elements not included)",36249.45,48982.6,2,0,POINT (-87.729627037 41.917370014)
Pratt Beach Apartments LLC,Betty Griswold,6760,,N,Sheridan,Rd,49,Rogers Park,Devon/Sheridan,11/08/2011,09/12/2013,Commercial,", , new doors, Doors, HVAC, plumbing, security, tuck-pointing.",76512.23,102016.3,3,10,POINT (-87.661389042 42.005341985)
Bearings Mfg Co,Steven Sivo,1033,,N,Kolmar,Ave,37,Humboldt Park,Northwest Industrial Corridor,,05/29/2009,Industrial,roof,34089,68178,,,POINT (-87.739561017 41.899991018)
Nationwide Furniture Distributors Inc,Jamal Jarad,1000,,S,Kostner,Ave,24,North Lawndale,Roosevelt/Cicero,04/21/2011,11/07/2011,Industrial,pave parking lot to achieve zoning requirement for business license,110000,244572,23,3,POINT (-87.735125382 41.868191603)
"Maddiebird Bakery, LLC",Michele McAtee,1445,,W,Devon,Ave,48,Edgewater,Devon/Sheridan,11/15/2013,08/29/2014,Commercial,"front dining area: demolition, installation of bead board and borders on side wall, new countertops; front kitchen area: epoxy flooring and new partition wall; plumbing materials and labor; install grease trap; install two permanent stainless steel shelves; venting for oven area; painting; remove and replace drop ceiling tiles; back kitchen area repairs including new back door and drywall; electrical; general contractor services; shed awning; new hood system and exhaust fan (venting for oven area); ADA grab bars; countertops materials; plumbing materials; permanent shelving materials",15804.03,21072.04,3,1,POINT (-87.667169034 41.997934017)
Piggy Toes,Mary & George Fink,4548,,N,Western,Ave,47,Lincoln Square,Western Avenue (North),,05/08/2008,Commercial,"Replace window frames and resize glass, install new door",10828.15,21942.55,,,POINT (-87.689158035 41.964662011)
PreroLaw P.C,Elisha Prero,6212,,N,Lincoln,Ave,50,NORTH PARK,Lincoln Avenue,05/19/2023,12/26/2023,General Commercial,complete renovation for re-location of an existing law firm,62500,87200,1,4,POINT (-87.714755026 41.99455699)
"Mob Town, Inc.",Mark Thomas,2620,,W,Fletcher,St,33,Avondale,Addison Corridor (South),05/05/2012,07/17/2013,Commercial,", , electrical, lighting, painting, permit expenses",88757.81,118343.75,1,2,POINT (-87.693822984 41.938791015)
"The Religious Art & Gift, Inc.",Jeannette Vigil,5643,,W,63rd,St,13,Clearing,Archer/Central,10/04/2022,02/28/2023,Retail,"removal of the existing roofing system down to the structural wood decking, installation of new insulation, rubber membrane, flashings, metal copings, and the application of aluminum coating with new gutters and downspouts; masonry work including removal of the façade, limestone located at the top of building, and top half of the chimney and rebuilding to match the existing bricks with new flashings and weep rope installed over the windows, cutting an 8ft x 8ft masonry opening along the rear, tuckpointing as needed and re-installing the existing clay copings and metal caps as needed; the installation of an overhead door with associated connections; electrical work including the installation of LED lighting fixtures throughout, panel upgrades, new wiring, and exterior lighting along the storefront entrance with associated connections; installation of new frame, steel door, and handrails, raise door threshold and install short ramps to accommodate new heights of threshold.",86630.4,94256,4,0,POINT (-87.763442987 41.777793012)
Total Image Salon & Spa,Cynthia Ruh,4452,,N,Western,Ave,47,Lincoln Square,Western Avenue (North),06/04/2009,02/17/2011,Commercial,"Complete Renovation, Complete Renovation",51306.76,93285,,,POINT (-87.689098021 41.962875995)
"4GP, LLC",Michelle Puch,1830,,N,Kostner,Ave,36,Hermosa,Northwest Industrial Corridor,06/03/2022,03/31/2023,General Industrial,"roof tear off , exterior renovations including Roof tear off of north roof section; adhere a 5.2” polyisocyanurate insulation system to north roof; Starting at the low point of the roof, install a fully adhered 60 Mil, White TPO Roof Membrane; flash all roof curbs and miscellaneous roof penetrations; fabricate and install new 24 ga. Kynar sheet metal gravel stop to non-parapet walls, gutter edges, commercial sized gutter and downspout systems to the (2) raised roof areas, install new skirt metal and new termination counterflashing to parapet walls; and permits.",174740,349480,4,0,POINT (-87.736845029 41.914547995)
Beverly Professional Building,Joseph Esselman,10540,,S,Western,Ave,19,Beverly,Western/Rock Island,10/10/2012,01/30/2014,Commercial,"parking lot improvements including leveling and asphalt paving, concrete work on handicap accessible entryway ramp in front of building and on lower ledges around building and patching and painting work on canopy around building, installation of a “life jacket” system in the building elevator pit, landscaping work and façade repairs including stucco work,",33713.5,67427,2,,POINT (-87.681724042 41.701588981)
Vital Rehabilitation,Tomasz Kokocinski,5820,,W,Irving Park,Rd,38,Portage Park,West Irving Park,04/19/2010,08/16/2010,Commercial,"Addition of a second story, parking lot",133903,486920,,,POINT (-87.772760982 41.953417017)
Darryl & Fylynne Crawford Kimbark Coin Laundry 6,Darryl & Fylynne Crawford Kimbark Coin Laundry 6,1218,,E,53rd,St,4,Hyde Park,53rd Street,,04/08/2008,Commercial,"sign, HVAC, floor expansion, water heater",37155,74310,,,POINT (-87.595767038 41.800013018)
Forest Glen Animal Hospital,Andrew D. Orals,5330,,N,Elston,Ave,45,Jefferson Park,Elston/Armstrong,02/04/2013,12/18/2013,Commercial,"complete building systems (plumbing, electrical, and HVAC system), interior renovations including framing, drywall, ceiling, counter tops, cabinets, epoxy flooring system, concrete work, doors, baths, and storefront windows",100000,173375,4,6,POINT (-87.756656999 41.977964007)
Damen Lake Property LLC (Standard Equipment Co),Thomas Donlan,2033,,W,Walnut,St,27,Near West Side,Kinzie Industrial Corridor,,02/01/2001,Industrial,"Truck dock, Skylights, Roof",41506.5,83013,,,POINT (-87.678033992 41.88558701)
"2755 West Harrison, LLC & Shiller Preyar Law Offices",Helen Shiller,2755,2759,W,Harrison,St,28,East Garfield Park,Western/Ogden,01/27/2015,10/23/2015,Commercial,"demolition work throughout building; framing and rough carpentry for new office space layout, subflooring and new ceiling joists; rough plumbing work for new restrooms; rough electrical related to new service and distribution; HVAC work; masonry work including new lintels, tuckpointing, and repairs to window openings; and purchase of materials for new windows, the balance of rehabilitation and renovation work including: rough and finish carpentry, framing, and drywall for new office space, restrooms, and stairwells; masonry façade improvements; new exterior windows; plumbing work including installation of fixtures; mechanical HVAC work including installation of rooftop units and new ductwork; electrical work; roofing repairs as needed; flooring (sub-floor framing and finishes); structural steel work; painting and finishing work.  Address range is 2755-59 W. Harrison St.",100000,506934,12,15,POINT (-87.695862971 41.873537019)
Pastorelli Food Products Inc,Richard Pastorelli,901,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,01/25/2010,04/13/2011,Industrial,"cement floor, expansion of production room, cement floor, expansion of production room",150000,636240,,,POINT (-87.650155028 41.885378008)
Apatura Studio Inc,Patrycja Fiedor,1023,,W,Jackson,Blvd,25,Near West Side,Central West,02/19/2011,02/06/2012,Commercial,"Complete rehab,",95858,127810.67,12,8,POINT (-87.652916027 41.877522991)
"Vincent Barraco - BRocks 2, LLC",Vincent Barraco,2205,2211,W,95th,St,19,Beverly,95th/Western,04/20/2022,01/25/2023,Mixed-Use: Retail and Commercial,"a complete roof tear off down to the wood decking, repairs as needed to the decking, installation of new insulation, roofing membrane, flashings, and gravel stop edge metals with gutters and drains; façade improvements including the installation of a new cement board system; electrical upgrades including new conduits, wiring, electrical panels, switches, and fixtures for emergency lights, HVAC connections, and exhaust fans; Architectural  services",147920.59,164365.21,2,7,POINT (-87.677495036 41.720705001)
"All The Trimmings, Inc.",Juan Martinez,4500,,S,Ashland,Ave,15,New City,47th/Ashland,01/15/2016,11/23/2016,Commercial,"of tuck pointing along the south, north, and west elevations, and of the interior masonry wall; installation of new subflooring and vinyl tile flooring; installation of new metal framing, insulation and 2X2 tiles for drop ceiling; restroom improvements including new ADA components, new plumbing and electrical systems and fixtures; installation of three (3) HVAC units with new duct work and two (2) new water heaters; replacement of the rear door with a commercial metal door; installation of new thermal windows and electric sliding doors; replacement of a new roof with new insulation, flashings, and gutters and down spouts; painting and finishing work. Located at 4500, 4504 and 4508 S Ashland.",100000,144100,2,4,POINT (-87.66544999 41.812113007)
West Grand Corp. dba PJ HVAC,Pablo Lucena,3849,,W,Grand,Ave,26,Humboldt Park,Pulaski Corridor,11/03/2017,02/22/2019,Commercial,"tear off of existing roof, installation of new wood decking and insulation, installation of granulated bitumen membrane, add new clay capping stones, and galvanized gutter and downspout system; pressure wash and tuck-point the entire building, replace brick where needed, remove and reinstall façade stones; furnish and install an HVAC system (with associated duct work, venting, and wiring for the 1st floor and basement); removal and installation of plumbing service for two bathrooms, furnish and install new 100 gallon hot water tank; new electrical service panel and outlets for 1st floor and basement; basement work including excavation of 25ft of existing dirt, add 4 inches of gravel and 4 inches of concrete; demolition of existing damaged floor, replace wood panels and install new laminate flooring, and installation of new drywall",97462.5,129950,4,2,POINT (-87.723227035 41.904701983)
"Blue Island Wholesale Produce, Inc.",Daniel Suarez,2320,,S,Blue Island,Ave,25,Lower West Side,Pilsen Industrial Corridor,03/20/2018,02/27/2019,Industrial,"façade improvements including demolish existing masonry façade and rebuild new façade per plans including replacements of iron supports, limestone sills, new face brick, create opening for new glass block windows, replace existing glass block windows, repair parapet walls as needed, and permit fees",92400,184800,4,12,POINT (-87.672028024 41.850275016)
